voltage,length,id,substations,sh_lines,idx
380.0,1.4075708942449159,w42389033,"['ElmTerm_0030', 'ElmTerm_virtual_0023']","LINESTRING (8.617573 48.0648914, 8.618782299999999 48.0644794, 8.621233699999999 48.0619412, 8.6236801 48.059426, 8.6262501 48.0567442, 8.629806800000001 48.057655)",ElmLne_46
380.0,0.3899166698029618,w42389035,"['ElmTerm_virtual_0022', 'ElmTerm_virtual_0023']","LINESTRING (8.625445599999999 48.0557059, 8.629806800000001 48.057655)",ElmLne_48
220.0,0.6135477115903006,w43158604,"['ElmTerm_0009', 'ElmTerm_0007']","LINESTRING (9.1887835 48.9133241, 9.192277199999999 48.9125782, 9.193654799999999 48.9116125, 9.195714499999999 48.9114767, 9.1957874 48.9118933)",ElmLne_49
380.0,31.928506372763785,w43201818,"['ElmTerm_virtual_0015', 'ElmTerm_virtual_0024']","LINESTRING (8.821979499999999 48.9393723, 8.818009099999999 48.9400884, 8.8126202 48.9420748, 8.808538499999999 48.943589, 8.8052999 48.944709, 8.801449399999999 48.9460236, 8.7972725 48.9474455, 8.792573600000001 48.9490331, 8.788354699999999 48.9504696, 8.783861999999999 48.9519687, 8.7793958 48.9534923, 8.775845 48.9560724, 8.771641199999999 48.9591074, 8.767527400000001 48.9620727, 8.763643699999999 48.9648796, 8.7598372 48.9676268, 8.756069099999999 48.9703259, 8.7532201 48.9723949, 8.749984899999999 48.9752092, 8.7466892 48.9780983, 8.7437658 48.9806339, 8.7404267 48.9835439, 8.736552400000001 48.9868583, 8.7368244 48.9892045, 8.7371815 48.9920188, 8.737642599999999 48.9954334, 8.737886400000001 48.999674, 8.738262499999999 49.0034281, 8.7386704 49.0074056, 8.739073100000001 49.01184, 8.7394917 49.015511, 8.7398741 49.0195543, 8.740254999999999 49.0232501, 8.739201599999999 49.0277644, 8.738144999999999 49.0321471, 8.737245700000001 49.0358664, 8.736298 49.0397154, 8.7354281 49.0433879, 8.7347629 49.0480066, 8.734110899999999 49.0520941, 8.733499999999999 49.0557831, 8.732702099999999 49.060772, 8.7320431 49.0647495, 8.731545300000001 49.0680911, 8.730938 49.0718638, 8.730445599999999 49.0750814, 8.728134900000001 49.0775919, 8.725224900000001 49.080698, 8.721905 49.0842807, 8.7184537 49.0879516, 8.7155314 49.0911318, 8.712267600000001 49.0946667, 8.7090853 49.0981181, 8.706976900000001 49.1008877, 8.7048421 49.1037264, 8.7024495 49.1068638, 8.699854999999999 49.1102338, 8.6974804 49.113394, 8.6950217 49.1166207, 8.692807800000001 49.1193895, 8.6905874 49.1223561, 8.6886718 49.1248136, 8.6840417 49.126351, 8.6789407 49.1279868, 8.673506400000001 49.1298256, 8.667908300000001 49.131711, 8.6622313 49.1335393, 8.6568912 49.1352787, 8.6521347 49.1368568, 8.648152400000001 49.1382277, 8.644157399999999 49.1395169, 8.6399588 49.140905, 8.6351104 49.1425059, 8.6308544 49.1439153, 8.628261200000001 49.1457563, 8.624768899999999 49.1482052, 8.621320000000001 49.150674, 8.618017 49.1529947, 8.613892399999999 49.1559764, 8.610008000000001 49.1587525, 8.605843 49.1616908)",ElmLne_50
220.0,2.493843261736102,w43292055,"['ElmTerm_virtual_0002', 'ElmTerm_virtual_0026']","LINESTRING (9.2370128 48.9221859, 9.241099500000001 48.9220829, 9.2420109 48.9220599, 9.247127799999999 48.9219386, 9.2523103 48.9218162, 9.2575463 48.9216876, 9.261161599999999 48.9202704, 9.2656291 48.9185401, 9.2692195 48.917123)",ElmLne_53
220.0,1.152523021829412,w43292068,"['ElmTerm_0007', 'ElmTerm_virtual_0028']","LINESTRING (9.1993855 48.9129226, 9.199302899999999 48.9140906, 9.2019606 48.9160646, 9.204307399999999 48.9189138, 9.206713000000001 48.9218334)",ElmLne_55
220.0,0.0644019616433404,w43292069,"['ElmTerm_virtual_0028', 'ElmTerm_virtual_0029']","LINESTRING (9.2058418 48.9217454, 9.206713000000001 48.9218334)",ElmLne_56
220.0,1.4021036329601846,w43292071,"['ElmTerm_virtual_0030', 'ElmTerm_0007']","LINESTRING (9.2042725 48.924338, 9.2051693 48.9216668, 9.2029779 48.9190981, 9.200336699999999 48.916016, 9.1984669 48.9141885, 9.198275199999999 48.9130054)",ElmLne_58
220.0,0.24611763885116528,w43292072,"['ElmTerm_0798', 'ElmTerm_virtual_0029']","LINESTRING (9.2057419 48.9239207, 9.205510200000001 48.9234551, 9.2058418 48.9217454)",ElmLne_59
220.0,1.1213110291109805,w43292078,"['ElmTerm_virtual_0029', 'ElmTerm_0007']","LINESTRING (9.2058418 48.9217454, 9.203491400000001 48.9188602, 9.201063400000001 48.9158916, 9.198885799999999 48.9141467, 9.198700199999999 48.9129683)",ElmLne_60
220.0,1.4963338433143283,w43305107,"['ElmTerm_0033', 'ElmTerm_virtual_0014']","LINESTRING (8.120234399999999 48.704903, 8.1182722 48.7050938, 8.114242900000001 48.7055349, 8.110524399999999 48.7059065, 8.106697499999999 48.7063533, 8.102941599999999 48.7067627, 8.100107700000001 48.7070611)",ElmLne_65
220.0,2.103415302920323,w43667462,"['ElmTerm_virtual_0031', 'ElmTerm_virtual_0032']","LINESTRING (9.060580399999999 48.9085485, 9.058993299999999 48.9066408, 9.0572155 48.904384, 9.0551314 48.9017729, 9.0534602 48.8997513, 9.0512484 48.8969134, 9.049303500000001 48.8944662, 9.047101400000001 48.891837)",ElmLne_67
380.0,5.302298492402717,w43688795,"['ElmTerm_0041', 'ElmTerm_virtual_0033']","LINESTRING (9.042865000000001 48.9038019, 9.0430964 48.905072, 9.046927 48.9069992, 9.049262799999999 48.9102709, 9.052158 48.9143809, 9.055074899999999 48.9184676, 9.058249500000001 48.9229868, 9.0613574 48.9273186, 9.063385800000001 48.9302345, 9.0655141 48.9331528, 9.067488900000001 48.9360387, 9.070881099999999 48.9413791, 9.0734131 48.9436376, 9.075749099999999 48.9457539)",ElmLne_68
380.0,1.0446033998170985,w43688796,"['ElmTerm_virtual_0004', 'ElmTerm_virtual_0033']","LINESTRING (9.075749099999999 48.9457539, 9.0773943 48.9472789, 9.0800246 48.9496568, 9.0820968 48.9515503, 9.0844334 48.953202)",ElmLne_69
380.0,1.0518855005082883,w43688806,"['ElmTerm_virtual_0004', 'ElmTerm_virtual_0033']","LINESTRING (9.075749099999999 48.9457539, 9.078376 48.9472203, 9.0805691 48.9492269, 9.0829199 48.9513688, 9.0844334 48.953202)",ElmLne_70
380.0,0.6529549666286657,w45279039,"['ElmTerm_virtual_0034', 'ElmTerm_0075']","LINESTRING (7.7522233 48.1040774, 7.7542595 48.1009673, 7.7558144 48.0987176)",ElmLne_71
380.0,0.3611900103067664,w45279041,"['ElmTerm_virtual_0034', 'ElmTerm_0075']","LINESTRING (7.7522233 48.1040774, 7.7532972 48.1009093)",ElmLne_72
380.0,0.6759345744445219,w46448178,"['ElmTerm_virtual_0035', 'ElmTerm_0065']","LINESTRING (8.4414088 49.2459253, 8.4443114 49.2487502, 8.444361300000001 49.2505314, 8.443097 49.2508798)",ElmLne_73
