name,source,capacity(MW),assigned_term,lat,lon,sh_pp_agg,idx
Biomasseheizkraftwerk Hamburg,biomass,20.0,ElmTerm_0174,10.15750570921605,53.55512663174911,POINT (10.15750570921605 53.55512663174911),SM_0045
,wind,2500.0,ElmTerm_0188,8.992792439790867,51.34300940581555,POINT (8.992792439790867 51.34300940581555),SM_0046
,wind,2500.0,ElmTerm_0188,8.992792439790867,51.34300940581555,POINT (8.992792439790867 51.34300940581555),SM_0047
Speicherkraftwerk Hemfurth,hydro,20.0,ElmTerm_0187,9.05036513946364,51.16732386681964,POINT (9.05036513946364 51.16732386681964),SM_0048
Waldeck II,hydro,480.0,ElmTerm_0753,9.047412735731948,51.16778725283143,POINT (9.047412735731948 51.16778725283143),SM_0049
,wind,450.0,ElmTerm_0826,12.1304799,54.1408596,POINT (12.1304799 54.1408596),SM_0050
,wind,450.0,ElmTerm_0826,12.1304799,54.1408596,POINT (12.1304799 54.1408596),SM_0051
,wind,450.0,ElmTerm_0826,12.1304799,54.1408596,POINT (12.1304799 54.1408596),SM_0052
,wind,450.0,ElmTerm_0826,12.1304799,54.1408596,POINT (12.1304799 54.1408596),SM_0053
,wind,450.0,ElmTerm_0826,12.1304799,54.1408596,POINT (12.1304799 54.1408596),SM_0054
Heizkraftwerk Mitte,coal,78.0,ElmTerm_0236,10.505499184652082,52.30183792010768,POINT (10.50549918465208 52.30183792010768),SM_0055
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0056
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0057
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0058
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0059
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0060
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0061
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0062
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0063
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0064
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0065
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0066
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0067
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0068
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0069
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0070
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0071
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0072
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0073
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0074
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0075
,wind,600.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0076
,wind,600.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0077
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0078
,wind,600.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0079
Heizkraftwerk Mitte,gas,75.0,ElmTerm_0236,10.505499184652082,52.30183792010768,POINT (10.50549918465208 52.30183792010768),SM_0080
,wind,600.0,ElmTerm_0252,8.060057019715762,53.62020261567137,POINT (8.060057019715762 53.62020261567137),SM_0081
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0082
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0083
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0084
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0085
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0086
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0087
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0088
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0089
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0090
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0091
,wind,1000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0092
Windpark Butterburg,wind,1500.0,ElmTerm_0258,8.474707076077896,53.42865120708047,POINT (8.474707076077896 53.42865120708047),SM_0093
,wind,1500.0,ElmTerm_0258,8.474707076077896,53.42865120708047,POINT (8.474707076077896 53.42865120708047),SM_0094
,wind,1500.0,ElmTerm_0258,8.474707076077896,53.42865120708047,POINT (8.474707076077896 53.42865120708047),SM_0095
,wind,1500.0,ElmTerm_0258,8.474707076077896,53.42865120708047,POINT (8.474707076077896 53.42865120708047),SM_0096
,wind,1500.0,ElmTerm_0258,8.474707076077896,53.42865120708047,POINT (8.474707076077896 53.42865120708047),SM_0097
,wind,1500.0,ElmTerm_0258,8.474707076077896,53.42865120708047,POINT (8.474707076077896 53.42865120708047),SM_0098
,wind,2000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0099
,wind,2000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0100
,wind,2000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0101
,wind,2000.0,ElmTerm_0275,8.477910646927493,53.42848549999997,POINT (8.477910646927493 53.42848549999997),SM_0102
,wind,1500.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0103
,wind,1500.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0104
,wind,1500.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0105
,wind,1500.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0106
,wind,1500.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0107
,wind,1500.0,ElmTerm_0255,9.06879109636534,53.566641441924006,POINT (9.06879109636534 53.56664144192401),SM_0108
Solaranlage,solar,39.129,ElmTerm_0232,10.76104040544837,52.36772939441982,POINT (10.76104040544837 52.36772939441982),SM_0109
,biomass,370.0,ElmTerm_0259,8.403141467201092,52.60964404204248,POINT (8.403141467201092 52.60964404204248),SM_0110
Biomasseheizkraftwerk Papenburg,biomass,20.0,ElmTerm_0289,7.311362296894268,53.12576657757783,POINT (7.311362296894268 53.12576657757783),SM_0111
Biomasseheizkraftwerk Emlichheim,biomass,20.0,ElmTerm_0290,7.2771539455269965,52.75324261892879,POINT (7.277153945526996 52.75324261892879),SM_0112
Kraftwerk Flingern,waste,55.0,ElmTerm_0314,6.846999370632005,51.205591779005125,POINT (6.846999370632005 51.20559177900513),SM_0113
Airwin,wind,500.0,ElmTerm_0306,7.416707965676636,51.45705217681607,POINT (7.416707965676636 51.45705217681607),SM_0114
,waste,23.0,ElmTerm_0299,6.975932590687634,51.03760075546319,POINT (6.975932590687634 51.03760075546319),SM_0115
Kraftwerk Heimbach,hydro,16.0,ElmTerm_0346,6.300901280667953,50.828953221312766,POINT (6.300901280667953 50.82895322131277),SM_0116
Speicherkraftwerk Bigge,hydro,17.2,ElmTerm_0432,7.938127680570444,51.010673468170666,POINT (7.938127680570444 51.01067346817067),SM_0117
Block E1,gas,75.0,ElmTerm_0411,7.706357689648909,51.27858033373516,POINT (7.706357689648909 51.27858033373516),SM_0118
Block E2,gas,75.0,ElmTerm_0411,7.706357689648909,51.27858033373516,POINT (7.706357689648909 51.27858033373516),SM_0119
Block E3 - Rauchgasentschwefelung,coal,186.0,ElmTerm_0411,7.706357689648909,51.27858033373516,POINT (7.706357689648909 51.27858033373516),SM_0120
