voltage,name,idx,sh_terminals,trafos
380.0,virtual terminal,ElmTerm_virtual_0432,POINT (12.0441119 50.7959403),[]
220.0,virtual terminal,ElmTerm_virtual_0057,POINT (9.1420738 49.1358795),[]
380.0,virtual terminal,ElmTerm_virtual_0047,POINT (8.6700993 49.3092023),[]
220.0,virtual terminal,ElmTerm_virtual_0433,POINT (10.2005111 47.9585187),[]
220.0,virtual terminal,ElmTerm_virtual_0434,POINT (10.1469945 47.9911961),[]
380.0,virtual terminal,ElmTerm_virtual_0435,POINT (8.5311655 49.8530191),['ElmTr2_0131']
380.0,virtual terminal,ElmTerm_virtual_0438,POINT (6.7153284 51.092089),[]
220.0,floating end terminal,ElmTerm_0895,POINT (6.6619848 51.0370276),[]
380.0,virtual terminal,ElmTerm_virtual_0439,POINT (7.4814017 51.9564504),[]
220.0,virtual terminal,ElmTerm_virtual_0296,POINT (7.1493015 51.5045008),[]
220.0,virtual terminal,ElmTerm_virtual_0441,POINT (7.1462924 51.5048313),['ElmTr2_0133']
220.0,virtual terminal,ElmTerm_virtual_0442,POINT (7.1792027 51.4218245),[]
380.0,virtual terminal,ElmTerm_virtual_0443,POINT (6.9854036 51.5204731),['ElmTr2_0136']
380.0,virtual terminal,ElmTerm_virtual_0297,POINT (6.9920198 51.5210695),[]
220.0,virtual terminal,ElmTerm_virtual_0445,POINT (7.0199048 51.5615742),[]
220.0,virtual terminal,ElmTerm_virtual_0446,POINT (6.703685 51.0909606),[]
220.0,virtual terminal,ElmTerm_virtual_0372,POINT (7.9420522 50.8371651),[]
220.0,floating end terminal,ElmTerm_0896,POINT (7.1665308 51.3776831),[]
220.0,floating end terminal,ElmTerm_0898,POINT (7.8180964 49.8920115),[]
220.0,virtual terminal,ElmTerm_virtual_0448,POINT (7.4913512 50.3507651),[]
220.0,floating end terminal,ElmTerm_0899,POINT (7.492223 50.3509771),[]
220.0,floating end terminal,ElmTerm_0900,POINT (6.8140057 49.2862836),[]
380.0,tieline terminal,ElmTerm_tieline_0038,POINT (8.0451678 47.5526068),['ElmTr2_0121']
220.0,floating end terminal,ElmTerm_0901,POINT (8.0350968 47.5606405),['ElmTr2_0124']
220.0,tieline terminal,ElmTerm_tieline_0039,POINT (8.0451678 47.5526068),['ElmTr2_0121']
380.0,tieline terminal,ElmTerm_tieline_0040,POINT (8.0456828 47.5527806),['ElmTr2_0122']
220.0,virtual terminal,ElmTerm_virtual_0065,POINT (9.073516100000001 49.3119354),[]
220.0,virtual terminal,ElmTerm_virtual_0105,POINT (10.3341834 47.6717033),[]
220.0,virtual terminal,ElmTerm_virtual_0021,POINT (8.5889209 49.8114476),[]
220.0,virtual terminal,ElmTerm_virtual_0450,POINT (6.6267239 51.2542526),[]
380.0,virtual terminal,ElmTerm_virtual_0215,POINT (6.8940627 50.8479812),[]
220.0,virtual terminal,ElmTerm_virtual_0258,POINT (6.6250926 51.0563198),[]
380.0,virtual terminal,ElmTerm_virtual_0281,POINT (7.3424517 51.5682738),[]
380.0,virtual terminal,ElmTerm_virtual_0452,POINT (7.338169 51.5698933),[]
220.0,virtual terminal,ElmTerm_virtual_0287,POINT (7.0194232 51.5587942),[]
220.0,virtual terminal,ElmTerm_virtual_0444,POINT (6.9854036 51.5204731),['ElmTr2_0136']
380.0,virtual terminal,ElmTerm_virtual_0320,POINT (7.1344475 51.5237388),[]
220.0,virtual terminal,ElmTerm_virtual_0451,POINT (6.7264109 51.5195525),[]
380.0,floating end terminal,ElmTerm_0909,POINT (7.167175 51.3803325),['ElmTr2_0132']
220.0,virtual terminal,ElmTerm_virtual_0346,POINT (7.7008697 51.6903695),[]
220.0,floating end terminal,ElmTerm_0910,POINT (8.6925282 51.8147233),[]
220.0,virtual terminal,ElmTerm_virtual_0454,POINT (8.2877738 49.5265276),['ElmTr2_0130']
220.0,floating end terminal,ElmTerm_0913,POINT (6.7897011 49.2940201),[]
380.0,floating end terminal,ElmTerm_0914,POINT (7.0221987 49.337156),['ElmTr2_0129']
220.0,virtual terminal,ElmTerm_virtual_0069,POINT (7.9433458 47.5952826),['ElmTr2_0126']
220.0,floating end terminal,ElmTerm_0916,POINT (7.8988742 47.6042316),[]
220.0,floating end terminal,ElmTerm_0917,POINT (8.627151 49.5430617),[]
220.0,virtual terminal,ElmTerm_virtual_0059,POINT (8.6275517 49.5430903),[]
220.0,floating end terminal,ElmTerm_0918,POINT (8.6278676 49.5431128),[]
380.0,virtual terminal,ElmTerm_virtual_0010,POINT (9.218223099999999 48.5324241),[]
220.0,floating end terminal,ElmTerm_0919,POINT (6.5806656 51.0581473),[]
220.0,virtual terminal,ElmTerm_virtual_0078,POINT (9.1388914 49.1458215),[]
380.0,virtual terminal,ElmTerm_virtual_0001,POINT (9.3025725 48.8831812),[]
380.0,virtual terminal,ElmTerm_virtual_0008,POINT (9.420535900000001 48.6763724),[]
380.0,virtual terminal,ElmTerm_virtual_0027,POINT (9.2096976 48.9233795),[]
380.0,virtual terminal,ElmTerm_virtual_0009,POINT (9.2410306 48.542606),[]
220.0,floating end terminal,ElmTerm_0797,POINT (9.4229466 48.6754578),[]
220.0,floating end terminal,ElmTerm_0892,POINT (8.173769 47.6512308),[]
380.0,virtual terminal,ElmTerm_virtual_0039,POINT (8.5305556 47.9148482),[]
220.0,tieline terminal,ElmTerm_tieline_0044,POINT (8.046708000000001 47.5531799),['ElmTr2_0123']
380.0,tieline terminal,ElmTerm_tieline_0002,POINT (7.507582 47.6498662),[]
220.0,tieline terminal,ElmTerm_tieline_0035,POINT (7.5877801 48.0144618),['ElmTr2_0128']
220.0,floating end terminal,ElmTerm_0803,POINT (10.0833384 48.2678976),[]
380.0,virtual terminal,ElmTerm_virtual_0103,POINT (10.0804461 48.2652703),[]
380.0,tieline terminal,ElmTerm_tieline_0034,POINT (7.5877801 48.0144618),['ElmTr2_0128']
220.0,virtual terminal,ElmTerm_virtual_0056,POINT (8.9446656 49.5703136),[]
220.0,floating end terminal,ElmTerm_0800,POINT (9.208914399999999 49.174476),[]
220.0,floating end terminal,ElmTerm_0890,POINT (7.9953862 47.5783675),['ElmTr2_0125']
380.0,tieline terminal,ElmTerm_tieline_0042,POINT (8.0462442 47.5529987),[]
220.0,tieline terminal,ElmTerm_tieline_0041,POINT (8.0456828 47.5527806),['ElmTr2_0122']
220.0,tieline terminal,ElmTerm_tieline_0005,POINT (11.1027179 47.2939609),[]
380.0,tieline terminal,ElmTerm_tieline_0006,POINT (12.7845575 49.680124),[]
380.0,virtual terminal,ElmTerm_virtual_0102,POINT (10.0800811 48.2672014),[]
380.0,floating end terminal,ElmTerm_0801,POINT (10.0822281 48.2667134),[]
220.0,floating end terminal,ElmTerm_0802,POINT (10.0850514 48.2678933),[]
380.0,floating end terminal,ElmTerm_0807,POINT (10.0822835 48.2661378),[]
220.0,floating end terminal,ElmTerm_0804,POINT (10.0844823 48.2677809),[]
380.0,floating end terminal,ElmTerm_0810,POINT (10.0812137 48.2651919),[]
380.0,floating end terminal,ElmTerm_0809,POINT (10.0823477 48.2659785),[]
380.0,floating end terminal,ElmTerm_0808,POINT (10.0824199 48.2657991),[]
220.0,floating end terminal,ElmTerm_0820,POINT (11.8814636 53.0833092),[]
220.0,floating end terminal,ElmTerm_0819,POINT (11.855911 53.0904844),[]
220.0,floating end terminal,ElmTerm_0823,POINT (8.508923299999999 50.0332801),[]
220.0,floating end terminal,ElmTerm_0824,POINT (8.508447 50.0334717),[]
220.0,virtual terminal,ElmTerm_virtual_0436,POINT (8.5311655 49.8530191),['ElmTr2_0131']
380.0,floating end terminal,ElmTerm_0826,POINT (12.1304799 54.1408596),[]
380.0,tieline terminal,ElmTerm_tieline_0019,POINT (6.9528266 53.1249114),[]
380.0,virtual terminal,ElmTerm_virtual_0449,POINT (7.8268604 52.4671439),[]
220.0,virtual terminal,ElmTerm_virtual_0242,POINT (7.3718564 52.1977067),[]
220.0,virtual terminal,ElmTerm_virtual_0301,POINT (6.5227255 51.3224955),[]
220.0,virtual terminal,ElmTerm_virtual_0271,POINT (7.1336977 51.5524223),[]
220.0,floating end terminal,ElmTerm_0844,POINT (7.3498773 51.5670342),[]
380.0,tieline terminal,ElmTerm_tieline_0020,POINT (5.9181043 51.1468876),[]
220.0,floating end terminal,ElmTerm_0874,POINT (6.5790513 51.0554564),[]
220.0,floating end terminal,ElmTerm_0848,POINT (6.6167618 51.0544781),[]
380.0,virtual terminal,ElmTerm_virtual_0262,POINT (7.9708681 51.6700575),[]
220.0,floating end terminal,ElmTerm_0904,POINT (7.7402992 51.5170029),['ElmTr2_0135']
380.0,tieline terminal,ElmTerm_tieline_0021,POINT (6.96256 52.1945132),[]
380.0,virtual terminal,ElmTerm_virtual_0336,POINT (7.1380903 51.5606501),[]
220.0,floating end terminal,ElmTerm_0906,POINT (7.7376966 51.515666),['ElmTr2_0134']
220.0,floating end terminal,ElmTerm_0903,POINT (7.4758498 51.6138251),[]
220.0,floating end terminal,ElmTerm_0853,POINT (6.9954799 51.5388141),['ElmTr2_0137']
220.0,virtual terminal,ElmTerm_virtual_0321,POINT (7.1393748 51.5608314),[]
220.0,virtual terminal,ElmTerm_virtual_0437,POINT (7.099697 51.4821948),[]
220.0,floating end terminal,ElmTerm_0851,POINT (7.3114951 51.4494471),[]
220.0,virtual terminal,ElmTerm_virtual_0322,POINT (7.1378238 51.5537615),[]
220.0,floating end terminal,ElmTerm_0905,POINT (7.308166 51.4518636),[]
220.0,floating end terminal,ElmTerm_0867,POINT (7.1661488 51.37766),[]
220.0,floating end terminal,ElmTerm_0856,POINT (6.570246 51.0498509),[]
220.0,virtual terminal,ElmTerm_virtual_0319,POINT (6.7705762 51.5310204),[]
