Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-01-04 17:00:00,2021-01-04 18:00:00,8702.000
2021-01-04 18:00:00,2021-01-04 19:00:00,8518.600
2021-01-04 19:00:00,2021-01-04 20:00:00,8068.300
2021-01-04 20:00:00,2021-01-04 21:00:00,7668.400
2021-01-04 21:00:00,2021-01-04 22:00:00,7199.400
2021-01-04 22:00:00,2021-01-04 23:00:00,7110.900
2021-01-04 23:00:00,2021-01-05 00:00:00,6749.900
2021-01-05 00:00:00,2021-01-05 01:00:00,6418.200
2021-01-05 01:00:00,2021-01-05 02:00:00,6222.900
2021-01-05 02:00:00,2021-01-05 03:00:00,6119.200
2021-01-05 03:00:00,2021-01-05 04:00:00,6008.200
2021-01-05 04:00:00,2021-01-05 05:00:00,6114.700
2021-01-05 05:00:00,2021-01-05 06:00:00,6508.500
2021-01-05 06:00:00,2021-01-05 07:00:00,7092.100
2021-01-05 07:00:00,2021-01-05 08:00:00,7679.200
2021-01-05 08:00:00,2021-01-05 09:00:00,8164.500
2021-01-05 09:00:00,2021-01-05 10:00:00,8399.800
2021-01-05 10:00:00,2021-01-05 11:00:00,8564.900
2021-01-05 11:00:00,2021-01-05 12:00:00,8693.200
2021-01-05 12:00:00,2021-01-05 13:00:00,8590.400
2021-01-05 13:00:00,2021-01-05 14:00:00,8402.500
2021-01-05 14:00:00,2021-01-05 15:00:00,8259.500
2021-01-05 15:00:00,2021-01-05 16:00:00,8263.900
2021-01-05 16:00:00,2021-01-05 17:00:00,8510.900
2021-01-05 17:00:00,2021-01-05 18:00:00,8717.600
2021-01-05 18:00:00,2021-01-05 19:00:00,8475.300
2021-01-05 19:00:00,2021-01-05 20:00:00,8027.800
2021-01-05 20:00:00,2021-01-05 21:00:00,7585.300
2021-01-05 21:00:00,2021-01-05 22:00:00,7164.300
2021-01-05 22:00:00,2021-01-05 23:00:00,7164.200
2021-01-05 23:00:00,2021-01-06 00:00:00,6748.700
2021-01-06 00:00:00,2021-01-06 01:00:00,6452.500
2021-01-06 01:00:00,2021-01-06 02:00:00,6220.500
2021-01-06 02:00:00,2021-01-06 03:00:00,6118.500
2021-01-06 03:00:00,2021-01-06 04:00:00,6011.000
2021-01-06 04:00:00,2021-01-06 05:00:00,5982.600
2021-01-06 05:00:00,2021-01-06 06:00:00,6132.400
2021-01-06 06:00:00,2021-01-06 07:00:00,6218.600
2021-01-06 07:00:00,2021-01-06 08:00:00,6594.900
2021-01-06 08:00:00,2021-01-06 09:00:00,6882.500
2021-01-06 09:00:00,2021-01-06 10:00:00,7288.700
2021-01-06 10:00:00,2021-01-06 11:00:00,7636.900
2021-01-06 11:00:00,2021-01-06 12:00:00,7937.900
2021-01-06 12:00:00,2021-01-06 13:00:00,7775.100
2021-01-06 13:00:00,2021-01-06 14:00:00,7465.000
2021-01-06 14:00:00,2021-01-06 15:00:00,7227.100
2021-01-06 15:00:00,2021-01-06 16:00:00,7159.900
2021-01-06 16:00:00,2021-01-06 17:00:00,7444.700
2021-01-06 17:00:00,2021-01-06 18:00:00,7860.500
2021-01-06 18:00:00,2021-01-06 19:00:00,7829.800
2021-01-06 19:00:00,2021-01-06 20:00:00,7555.000
2021-01-06 20:00:00,2021-01-06 21:00:00,7159.000
2021-01-06 21:00:00,2021-01-06 22:00:00,6813.700
2021-01-06 22:00:00,2021-01-06 23:00:00,6886.100
2021-01-06 23:00:00,2021-01-07 00:00:00,6606.000
2021-01-07 00:00:00,2021-01-07 01:00:00,6334.200
2021-01-07 01:00:00,2021-01-07 02:00:00,6115.100
2021-01-07 02:00:00,2021-01-07 03:00:00,6010.300
2021-01-07 03:00:00,2021-01-07 04:00:00,5919.700
2021-01-07 04:00:00,2021-01-07 05:00:00,6082.000
2021-01-07 05:00:00,2021-01-07 06:00:00,6631.600
2021-01-07 06:00:00,2021-01-07 07:00:00,7453.600
2021-01-07 07:00:00,2021-01-07 08:00:00,8355.400
2021-01-07 08:00:00,2021-01-07 09:00:00,8791.000
2021-01-07 09:00:00,2021-01-07 10:00:00,8985.400
2021-01-07 10:00:00,2021-01-07 11:00:00,9068.800
2021-01-07 11:00:00,2021-01-07 12:00:00,9101.200
2021-01-07 12:00:00,2021-01-07 13:00:00,8996.600
2021-01-07 13:00:00,2021-01-07 14:00:00,8765.800
2021-01-07 14:00:00,2021-01-07 15:00:00,8603.300
2021-01-07 15:00:00,2021-01-07 16:00:00,8573.900
2021-01-07 16:00:00,2021-01-07 17:00:00,8829.200
2021-01-07 17:00:00,2021-01-07 18:00:00,9219.000
2021-01-07 18:00:00,2021-01-07 19:00:00,9091.000
2021-01-07 19:00:00,2021-01-07 20:00:00,8614.100
2021-01-07 20:00:00,2021-01-07 21:00:00,8086.500
2021-01-07 21:00:00,2021-01-07 22:00:00,7555.400
2021-01-07 22:00:00,2021-01-07 23:00:00,7489.300
2021-01-07 23:00:00,2021-01-08 00:00:00,7102.000
2021-01-08 00:00:00,2021-01-08 01:00:00,6825.900
2021-01-08 01:00:00,2021-01-08 02:00:00,6596.800
2021-01-08 02:00:00,2021-01-08 03:00:00,6483.600
2021-01-08 03:00:00,2021-01-08 04:00:00,6394.400
2021-01-08 04:00:00,2021-01-08 05:00:00,6543.900
2021-01-08 05:00:00,2021-01-08 06:00:00,6993.400
2021-01-08 06:00:00,2021-01-08 07:00:00,7703.500
2021-01-08 07:00:00,2021-01-08 08:00:00,8531.700
2021-01-08 08:00:00,2021-01-08 09:00:00,8938.500
2021-01-08 09:00:00,2021-01-08 10:00:00,9096.500
2021-01-08 10:00:00,2021-01-08 11:00:00,9156.700
2021-01-08 11:00:00,2021-01-08 12:00:00,9164.100
2021-01-08 12:00:00,2021-01-08 13:00:00,8938.200
2021-01-08 13:00:00,2021-01-08 14:00:00,8645.600
2021-01-08 14:00:00,2021-01-08 15:00:00,8452.000
2021-01-08 15:00:00,2021-01-08 16:00:00,8411.100
2021-01-08 16:00:00,2021-01-08 17:00:00,8659.100
2021-01-08 17:00:00,2021-01-08 18:00:00,8977.300
2021-01-08 18:00:00,2021-01-08 19:00:00,8808.300
2021-01-08 19:00:00,2021-01-08 20:00:00,8386.000
2021-01-08 20:00:00,2021-01-08 21:00:00,7904.700
2021-01-08 21:00:00,2021-01-08 22:00:00,7400.400
2021-01-08 22:00:00,2021-01-08 23:00:00,7317.100
2021-01-08 23:00:00,2021-01-09 00:00:00,6996.000
2021-01-09 00:00:00,2021-01-09 01:00:00,6629.000
2021-01-09 01:00:00,2021-01-09 02:00:00,6403.200
2021-01-09 02:00:00,2021-01-09 03:00:00,6261.200
2021-01-09 03:00:00,2021-01-09 04:00:00,6090.200
2021-01-09 04:00:00,2021-01-09 05:00:00,6149.000
2021-01-09 05:00:00,2021-01-09 06:00:00,6409.300
2021-01-09 06:00:00,2021-01-09 07:00:00,6677.200
2021-01-09 07:00:00,2021-01-09 08:00:00,7048.500
2021-01-09 08:00:00,2021-01-09 09:00:00,7397.000
2021-01-09 09:00:00,2021-01-09 10:00:00,7675.600
2021-01-09 10:00:00,2021-01-09 11:00:00,7820.800
2021-01-09 11:00:00,2021-01-09 12:00:00,7909.300
2021-01-09 12:00:00,2021-01-09 13:00:00,7737.100
2021-01-09 13:00:00,2021-01-09 14:00:00,7527.900
2021-01-09 14:00:00,2021-01-09 15:00:00,7410.500
2021-01-09 15:00:00,2021-01-09 16:00:00,7472.500
2021-01-09 16:00:00,2021-01-09 17:00:00,7752.500
2021-01-09 17:00:00,2021-01-09 18:00:00,8152.700
2021-01-09 18:00:00,2021-01-09 19:00:00,8033.700
2021-01-09 19:00:00,2021-01-09 20:00:00,7685.000
2021-01-09 20:00:00,2021-01-09 21:00:00,7291.600
2021-01-09 21:00:00,2021-01-09 22:00:00,6934.600
2021-01-09 22:00:00,2021-01-09 23:00:00,6975.200
2021-01-09 23:00:00,2021-01-10 00:00:00,6645.600
2021-01-10 00:00:00,2021-01-10 01:00:00,6411.100
2021-01-10 01:00:00,2021-01-10 02:00:00,6134.300
2021-01-10 02:00:00,2021-01-10 03:00:00,6006.500
2021-01-10 03:00:00,2021-01-10 04:00:00,5913.400
2021-01-10 04:00:00,2021-01-10 05:00:00,5937.600
2021-01-10 05:00:00,2021-01-10 06:00:00,6074.000
2021-01-10 06:00:00,2021-01-10 07:00:00,6225.500
2021-01-10 07:00:00,2021-01-10 08:00:00,6576.200
2021-01-10 08:00:00,2021-01-10 09:00:00,6894.200
2021-01-10 09:00:00,2021-01-10 10:00:00,7316.600
2021-01-10 10:00:00,2021-01-10 11:00:00,7727.900
2021-01-10 11:00:00,2021-01-10 12:00:00,7922.100
2021-01-10 12:00:00,2021-01-10 13:00:00,7705.100
2021-01-10 13:00:00,2021-01-10 14:00:00,7413.500
2021-01-10 14:00:00,2021-01-10 15:00:00,7197.100
2021-01-10 15:00:00,2021-01-10 16:00:00,7144.100
2021-01-10 16:00:00,2021-01-10 17:00:00,7405.300
2021-01-10 17:00:00,2021-01-10 18:00:00,7848.600
2021-01-10 18:00:00,2021-01-10 19:00:00,7920.100
2021-01-10 19:00:00,2021-01-10 20:00:00,7701.900
2021-01-10 20:00:00,2021-01-10 21:00:00,7398.500
2021-01-10 21:00:00,2021-01-10 22:00:00,7105.400
2021-01-10 22:00:00,2021-01-10 23:00:00,7286.900
2021-01-10 23:00:00,2021-01-11 00:00:00,7052.200
2021-01-11 00:00:00,2021-01-11 01:00:00,6786.700
2021-01-11 01:00:00,2021-01-11 02:00:00,6597.700
2021-01-11 02:00:00,2021-01-11 03:00:00,6513.300
2021-01-11 03:00:00,2021-01-11 04:00:00,6441.800
2021-01-11 04:00:00,2021-01-11 05:00:00,6666.000
2021-01-11 05:00:00,2021-01-11 06:00:00,7337.800
2021-01-11 06:00:00,2021-01-11 07:00:00,8312.500
2021-01-11 07:00:00,2021-01-11 08:00:00,9354.500
2021-01-11 08:00:00,2021-01-11 09:00:00,9763.000
2021-01-11 09:00:00,2021-01-11 10:00:00,9760.200
2021-01-11 10:00:00,2021-01-11 11:00:00,9731.500
2021-01-11 11:00:00,2021-01-11 12:00:00,9742.200
2021-01-11 12:00:00,2021-01-11 13:00:00,9531.400
2021-01-11 13:00:00,2021-01-11 14:00:00,9323.300
2021-01-11 14:00:00,2021-01-11 15:00:00,9201.900
2021-01-11 15:00:00,2021-01-11 16:00:00,9208.500
2021-01-11 16:00:00,2021-01-11 17:00:00,9422.900
2021-01-11 17:00:00,2021-01-11 18:00:00,9786.400
2021-01-11 18:00:00,2021-01-11 19:00:00,9614.500
2021-01-11 19:00:00,2021-01-11 20:00:00,9174.200
2021-01-11 20:00:00,2021-01-11 21:00:00,8678.700
2021-01-11 21:00:00,2021-01-11 22:00:00,8221.300
2021-01-11 22:00:00,2021-01-11 23:00:00,8106.900
2021-01-11 23:00:00,2021-01-12 00:00:00,7676.700
2021-01-12 00:00:00,2021-01-12 01:00:00,7347.100
2021-01-12 01:00:00,2021-01-12 02:00:00,7188.100
