Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-07-20 00:00:00,2021-07-20 01:00:00,5763.200
2021-07-20 01:00:00,2021-07-20 02:00:00,5452.100
2021-07-20 02:00:00,2021-07-20 03:00:00,5352.500
2021-07-20 03:00:00,2021-07-20 04:00:00,5232.400
2021-07-20 04:00:00,2021-07-20 05:00:00,5300.000
2021-07-20 05:00:00,2021-07-20 06:00:00,5775.200
2021-07-20 06:00:00,2021-07-20 07:00:00,6720.700
2021-07-20 07:00:00,2021-07-20 08:00:00,7457.400
2021-07-20 08:00:00,2021-07-20 09:00:00,7856.300
2021-07-20 09:00:00,2021-07-20 10:00:00,7997.300
2021-07-20 10:00:00,2021-07-20 11:00:00,7936.900
2021-07-20 11:00:00,2021-07-20 12:00:00,8021.400
2021-07-20 12:00:00,2021-07-20 13:00:00,7909.500
2021-07-20 13:00:00,2021-07-20 14:00:00,7862.400
2021-07-20 14:00:00,2021-07-20 15:00:00,7726.700
2021-07-20 15:00:00,2021-07-20 16:00:00,7672.500
2021-07-20 16:00:00,2021-07-20 17:00:00,7577.700
2021-07-20 17:00:00,2021-07-20 18:00:00,7530.700
2021-07-20 18:00:00,2021-07-20 19:00:00,7409.900
2021-07-20 19:00:00,2021-07-20 20:00:00,7207.500
2021-07-20 20:00:00,2021-07-20 21:00:00,6964.200
2021-07-20 21:00:00,2021-07-20 22:00:00,6707.400
2021-07-20 22:00:00,2021-07-20 23:00:00,6454.900
2021-07-20 23:00:00,2021-07-21 00:00:00,5896.500
