Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-02-21 00:00:00,2021-02-21 01:00:00,6155.700
2021-02-21 01:00:00,2021-02-21 02:00:00,5880.300
2021-02-21 02:00:00,2021-02-21 03:00:00,5781.900
2021-02-21 03:00:00,2021-02-21 04:00:00,5612.700
2021-02-21 04:00:00,2021-02-21 05:00:00,5599.900
2021-02-21 05:00:00,2021-02-21 06:00:00,5796.400
2021-02-21 06:00:00,2021-02-21 07:00:00,5994.900
2021-02-21 07:00:00,2021-02-21 08:00:00,6363.500
2021-02-21 08:00:00,2021-02-21 09:00:00,6702.700
2021-02-21 09:00:00,2021-02-21 10:00:00,7010.600
2021-02-21 10:00:00,2021-02-21 11:00:00,7218.400
2021-02-21 11:00:00,2021-02-21 12:00:00,7401.800
2021-02-21 12:00:00,2021-02-21 13:00:00,7126.400
2021-02-21 13:00:00,2021-02-21 14:00:00,6800.100
2021-02-21 14:00:00,2021-02-21 15:00:00,6559.900
2021-02-21 15:00:00,2021-02-21 16:00:00,6447.700
2021-02-21 16:00:00,2021-02-21 17:00:00,6589.500
2021-02-21 17:00:00,2021-02-21 18:00:00,7000.200
2021-02-21 18:00:00,2021-02-21 19:00:00,7288.200
2021-02-21 19:00:00,2021-02-21 20:00:00,7139.200
2021-02-21 20:00:00,2021-02-21 21:00:00,6945.400
2021-02-21 21:00:00,2021-02-21 22:00:00,6639.800
2021-02-21 22:00:00,2021-02-21 23:00:00,6768.100
2021-02-21 23:00:00,2021-02-22 00:00:00,6461.100
