Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2019-01-01 22:15:00,2019-01-01 22:30:00,6675.600
2019-01-01 22:30:00,2019-01-01 22:45:00,6591.200
2019-01-01 22:45:00,2019-01-01 23:00:00,6482.800
2019-01-01 23:00:00,2019-01-01 23:15:00,6337.600
2019-01-01 23:15:00,2019-01-01 23:30:00,6275.200
2019-01-01 23:30:00,2019-01-01 23:45:00,6191.200
2019-01-01 23:45:00,2019-01-02 00:00:00,6097.200
2019-01-02 00:00:00,2019-01-02 00:15:00,6044.000
2019-01-02 00:15:00,2019-01-02 00:30:00,5982.400
2019-01-02 00:30:00,2019-01-02 00:45:00,5892.800
2019-01-02 00:45:00,2019-01-02 01:00:00,5792.400
2019-01-02 01:00:00,2019-01-02 01:15:00,5708.800
2019-01-02 01:15:00,2019-01-02 01:30:00,5715.200
2019-01-02 01:30:00,2019-01-02 01:45:00,5631.600
2019-01-02 01:45:00,2019-01-02 02:00:00,5605.200
2019-01-02 02:00:00,2019-01-02 02:15:00,5650.000
2019-01-02 02:15:00,2019-01-02 02:30:00,5603.200
2019-01-02 02:30:00,2019-01-02 02:45:00,5481.200
2019-01-02 02:45:00,2019-01-02 03:00:00,5450.000
2019-01-02 03:00:00,2019-01-02 03:15:00,5436.800
2019-01-02 03:15:00,2019-01-02 03:30:00,5465.600
2019-01-02 03:30:00,2019-01-02 03:45:00,5472.400
2019-01-02 03:45:00,2019-01-02 04:00:00,5430.400
2019-01-02 04:00:00,2019-01-02 04:15:00,5476.800
2019-01-02 04:15:00,2019-01-02 04:30:00,5558.800
2019-01-02 04:30:00,2019-01-02 04:45:00,5682.400
2019-01-02 04:45:00,2019-01-02 05:00:00,5818.400
2019-01-02 05:00:00,2019-01-02 05:15:00,6057.600
2019-01-02 05:15:00,2019-01-02 05:30:00,6173.600
2019-01-02 05:30:00,2019-01-02 05:45:00,6284.400
2019-01-02 05:45:00,2019-01-02 06:00:00,6450.000
2019-01-02 06:00:00,2019-01-02 06:15:00,6730.000
2019-01-02 06:15:00,2019-01-02 06:30:00,6935.600
2019-01-02 06:30:00,2019-01-02 06:45:00,7124.800
2019-01-02 06:45:00,2019-01-02 07:00:00,7309.600
2019-01-02 07:00:00,2019-01-02 07:15:00,7738.400
2019-01-02 07:15:00,2019-01-02 07:30:00,7878.400
2019-01-02 07:30:00,2019-01-02 07:45:00,7978.800
2019-01-02 07:45:00,2019-01-02 08:00:00,8111.200
2019-01-02 08:00:00,2019-01-02 08:15:00,8171.200
2019-01-02 08:15:00,2019-01-02 08:30:00,8324.000
2019-01-02 08:30:00,2019-01-02 08:45:00,8383.200
2019-01-02 08:45:00,2019-01-02 09:00:00,8459.600
2019-01-02 09:00:00,2019-01-02 09:15:00,8521.200
2019-01-02 09:15:00,2019-01-02 09:30:00,8621.200
2019-01-02 09:30:00,2019-01-02 09:45:00,8670.800
2019-01-02 09:45:00,2019-01-02 10:00:00,8702.400
2019-01-02 10:00:00,2019-01-02 10:15:00,8708.000
2019-01-02 10:15:00,2019-01-02 10:30:00,8725.600
2019-01-02 10:30:00,2019-01-02 10:45:00,8742.800
2019-01-02 10:45:00,2019-01-02 11:00:00,8813.200
2019-01-02 11:00:00,2019-01-02 11:15:00,8808.000
2019-01-02 11:15:00,2019-01-02 11:30:00,8852.000
2019-01-02 11:30:00,2019-01-02 11:45:00,8835.600
2019-01-02 11:45:00,2019-01-02 12:00:00,8826.400
2019-01-02 12:00:00,2019-01-02 12:15:00,8920.000
2019-01-02 12:15:00,2019-01-02 12:30:00,8838.800
2019-01-02 12:30:00,2019-01-02 12:45:00,8831.600
2019-01-02 12:45:00,2019-01-02 13:00:00,8804.000
2019-01-02 13:00:00,2019-01-02 13:15:00,8815.200
2019-01-02 13:15:00,2019-01-02 13:30:00,8827.600
2019-01-02 13:30:00,2019-01-02 13:45:00,8778.000
2019-01-02 13:45:00,2019-01-02 14:00:00,8816.400
2019-01-02 14:00:00,2019-01-02 14:15:00,8790.000
2019-01-02 14:15:00,2019-01-02 14:30:00,8760.400
