voltage,name,Area,Zone,idx,sh_terminals,trafos
110.0,floating end terminal,AT22,AT222,ElmTerm_0605,POINT (13.9489988 47.4340947),[]
110.0,virtual terminal,AT22,AT222,ElmTerm_virtual_0101,POINT (13.9446346 47.4430523),[]
110.0,virtual terminal,AT22,AT226,ElmTerm_virtual_0102,POINT (14.8433132 47.2230339),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0104,POINT (14.1383431 48.3069667),[]
110.0,virtual terminal,AT32,AT322,ElmTerm_virtual_0105,POINT (12.8958452 47.4114868),[]
110.0,tieline terminal,TL,TL,ElmTerm_tieline_0007,POINT (13.1636036 48.2948403),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0106,POINT (13.6289811 47.9920612),[]
110.0,virtual terminal,AT31,AT311,ElmTerm_virtual_0107,POINT (13.0346297 48.2391071),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0108,POINT (12.2019422 47.6377774),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0109,POINT (12.0785747 47.521775),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0110,POINT (12.1363394 47.5645439),[]
110.0,floating end terminal,AT33,AT335,ElmTerm_0606,POINT (12.1378584 47.560613),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0111,POINT (12.1387807 47.456857),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0112,POINT (12.3914423 47.4741642),[]
110.0,floating end terminal,AT33,AT335,ElmTerm_0607,POINT (12.3896846 47.4565251),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0113,POINT (11.9404947 47.4754292),[]
110.0,floating end terminal,AT32,AT322,ElmTerm_0608,POINT (12.8183368 47.4906569),[]
110.0,floating end terminal,AT31,AT311,ElmTerm_0609,POINT (12.8427142 48.0291243),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0114,POINT (13.800879 48.0192841),[]
110.0,virtual terminal,AT12,AT121,ElmTerm_virtual_0115,POINT (15.2702377 48.2134624),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0116,POINT (13.506506 47.9459824),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0117,POINT (13.4879077 47.7583904),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0118,POINT (13.4936321 47.7508076),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0119,POINT (13.4816897 47.7783094),[]
110.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0120,POINT (13.4768399 47.7850417),[]
110.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0121,POINT (13.498194 47.7225389),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0122,POINT (13.504603 47.7224593),[]
110.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0123,POINT (13.4220925 47.5830733),[]
110.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0124,POINT (13.4166907 47.5758856),[]
110.0,virtual terminal,AT21,AT213,ElmTerm_virtual_0125,POINT (14.3646798 46.7257206),[]
110.0,virtual terminal,AT21,AT213,ElmTerm_virtual_0126,POINT (14.3726712 46.7597914),[]
220.0,virtual terminal,AT31,AT311,ElmTerm_virtual_0127,POINT (13.4447648 48.4344367),[]
220.0,virtual terminal,AT31,AT311,ElmTerm_virtual_0128,POINT (13.4446207 48.4351015),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0130,POINT (15.714559 47.0918374),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0131,POINT (14.1384162 48.3071916),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0132,POINT (15.4723555 47.0025085),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0134,POINT (15.4895534 47.0150045),[]
110.0,virtual terminal,AT11,AT112,ElmTerm_virtual_0135,POINT (16.2895464 47.8080638),[]
110.0,floating end terminal,AT22,AT222,ElmTerm_0610,POINT (14.7505928 47.6505893),[]
110.0,virtual terminal,AT22,AT222,ElmTerm_virtual_0136,POINT (14.7496065 47.6104646),[]
110.0,floating end terminal,AT22,AT222,ElmTerm_0611,POINT (14.6894195 47.7036518),[]
110.0,virtual terminal,AT22,AT222,ElmTerm_virtual_0137,POINT (14.346721 47.587954),[]
110.0,virtual terminal,AT31,AT314,ElmTerm_virtual_0138,POINT (14.6314335 47.8471042),[]
110.0,floating end terminal,AT31,AT314,ElmTerm_0612,POINT (14.6394609 47.8481423),[]
110.0,virtual terminal,AT22,AT223,ElmTerm_virtual_0139,POINT (15.4287181 47.5025758),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0140,POINT (15.2757792 47.0622412),[]
110.0,virtual terminal,AT11,AT113,ElmTerm_virtual_0141,POINT (16.3153804 47.0735383),[]
110.0,virtual terminal,AT12,AT124,ElmTerm_virtual_0133,POINT (15.1471371 48.5919289),[]
110.0,virtual terminal,AT12,AT121,ElmTerm_virtual_0142,POINT (15.2292202 48.2388791),[]
110.0,floating end terminal,AT12,AT121,ElmTerm_0613,POINT (15.2530227 48.2246392),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0010,POINT (12.559293 46.6549675),[]
110.0,virtual terminal,AT21,AT211,ElmTerm_virtual_0144,POINT (14.4224506 46.6438874),[]
110.0,virtual terminal,AT21,AT211,ElmTerm_virtual_0145,POINT (14.4214078 46.6638479),[]
110.0,virtual terminal,AT21,AT212,ElmTerm_virtual_0146,POINT (13.345926 46.8311105),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0147,POINT (14.3779233 48.3048963),[]
110.0,floating end terminal,AT33,AT335,ElmTerm_0615,POINT (12.0583917 47.2355602),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0148,POINT (15.9706248 47.2164581),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0149,POINT (15.90108 46.9589388),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0150,POINT (15.8975786 46.9456486),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0152,POINT (15.6328897 47.2060754),[]
220.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0153,POINT (11.8486022 47.1616274),[]
220.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0154,POINT (11.817474 47.1313524),[]
220.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0155,POINT (11.8032016 47.1122593),[]
220.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0156,POINT (11.7887322 47.0903413),[]
380.0,virtual terminal,AT33,AT334,ElmTerm_virtual_0157,POINT (10.8654883 47.2460131),[]
380.0,virtual terminal,AT33,AT334,ElmTerm_virtual_0158,POINT (10.6844673 47.1361126),[]
380.0,tieline terminal,TL,TL,ElmTerm_tieline_0011,POINT (10.469538 46.8659809),[]
110.0,virtual terminal,AT33,AT334,ElmTerm_virtual_0159,POINT (10.5362825 47.1449887),[]
110.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0160,POINT (10.1807206 47.1362842),[]
110.0,virtual terminal,AT33,AT334,ElmTerm_virtual_0161,POINT (10.562476 47.1456424),[]
220.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0162,POINT (9.8735199 47.0876342),[]
110.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0164,POINT (9.918466499999999 47.071561),[]
110.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0165,POINT (9.862713599999999 47.1142949),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0166,POINT (15.7912283 47.1372123),[]
110.0,virtual terminal,AT22,AT223,ElmTerm_virtual_0167,POINT (15.2751308 47.4219724),[]
110.0,virtual terminal,AT22,AT225,ElmTerm_virtual_0168,POINT (15.5724109 46.745638),[]
110.0,floating end terminal,AT22,AT225,ElmTerm_0616,POINT (15.5720422 46.7455542),[]
110.0,virtual terminal,AT22,AT225,ElmTerm_virtual_0170,POINT (15.3531969 46.8543494),[]
110.0,floating end terminal,AT22,AT225,ElmTerm_0617,POINT (15.3534974 46.8543949),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0171,POINT (15.4639024 47.0128214),[]
110.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0172,POINT (16.7620312 48.4677982),[]
220.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0173,POINT (13.0639234 47.8841552),[]
110.0,tieline terminal,TL,TL,ElmTerm_tieline_0013,POINT (12.9277978 47.7741764),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0014,POINT (9.5640587 47.3043018),[]
220.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0174,POINT (15.8829704 48.3465521),[]
110.0,virtual terminal,AT32,AT322,ElmTerm_virtual_0175,POINT (12.5920254 47.2770276),[]
110.0,virtual terminal,AT32,AT322,ElmTerm_virtual_0176,POINT (12.7343371 47.2701589),[]
110.0,virtual terminal,AT12,AT127,ElmTerm_virtual_0177,POINT (16.7651449 48.0333569),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0178,POINT (14.3215098 48.2481227),[]
380.0,virtual terminal,AT32,AT322,ElmTerm_virtual_0179,POINT (12.73255 47.272509),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0180,POINT (12.1469412 47.5804875),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0181,POINT (9.595519400000001 47.3120318),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0182,POINT (9.6165824 47.3106318),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0183,POINT (9.619684700000001 47.3043942),[]
220.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0163,POINT (9.594243799999999 47.3153636),[]
110.0,tieline terminal,TL,TL,ElmTerm_tieline_0015,POINT (9.7257155 47.5508939),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0184,POINT (9.722190899999999 47.4875752),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0185,POINT (9.6952558 47.4794744),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0186,POINT (9.7538175 47.4385937),[]
110.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0187,POINT (9.8556664 47.4391161),[]
110.0,floating end terminal,AT31,AT315,ElmTerm_0618,POINT (13.6201186 47.9833914),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0188,POINT (13.6210101 47.9832188),[]
110.0,floating end terminal,AT31,AT315,ElmTerm_0619,POINT (13.6201142 47.9834744),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0189,POINT (13.7880357 48.0346838),[]
110.0,floating end terminal,AT31,AT315,ElmTerm_0620,POINT (13.5999064 47.9933633),[]
110.0,floating end terminal,AT31,AT315,ElmTerm_0621,POINT (13.5994709 47.9933056),[]
110.0,virtual terminal,AT22,AT222,ElmTerm_virtual_0190,POINT (14.1054859 47.4899829),[]
110.0,virtual terminal,AT22,AT222,ElmTerm_virtual_0191,POINT (14.7500084 47.6112774),[]
110.0,floating end terminal,AT22,AT222,ElmTerm_0622,POINT (14.6528812 47.7383689),[]
220.0,virtual terminal,AT11,AT112,ElmTerm_virtual_0193,POINT (16.8535236 47.9764518),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0017,POINT (14.8362614 46.5637396),[]
380.0,virtual terminal,AT12,AT123,ElmTerm_virtual_0143,POINT (15.7360798 48.2664933),[]
110.0,virtual terminal,AT12,AT123,ElmTerm_virtual_0194,POINT (15.7140493 48.2857431),[]
110.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0195,POINT (15.9298155 48.3315819),[]
220.0,virtual terminal,AT13,AT130,ElmTerm_virtual_0196,POINT (16.4296604 48.1395033),[]
110.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0197,POINT (9.715149500000001 47.1902076),[]
110.0,floating end terminal,AT31,AT311,ElmTerm_0623,POINT (12.9916265 48.0964307),[]
110.0,virtual terminal,AT34,AT341,ElmTerm_virtual_0198,POINT (10.0523911 46.9700836),[]
110.0,virtual terminal,AT12,AT121,ElmTerm_virtual_0199,POINT (14.8341379 48.012423),[]
110.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0200,POINT (16.5044318 48.356268),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0066,POINT (9.666995 47.368007),[]
110.0,virtual terminal,AT12,AT121,ElmTerm_virtual_0201,POINT (14.5354688 48.2325585),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0202,POINT (13.8131229 48.0104309),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0019,POINT (13.0525449 48.2698933),[]
