name,geometry
Umspannwerk Wr. Neudorf,"POLYGON ((16.307415 48.0812172, 16.308725 48.081069, 16.3089343 48.082271, 16.308994 48.0825264, 16.307671 48.0822814, 16.307415 48.0812172))"
Umspannwerk Wien West,"POLYGON ((16.2377688 48.1999957, 16.2381249 48.1999345, 16.2382694 48.2002768, 16.2385513 48.2009442, 16.2368394 48.2012666, 16.235323 48.201547, 16.2352966 48.2013396, 16.23523 48.2008156, 16.2351921 48.2005176, 16.2352505 48.2004626, 16.2353741 48.2004394, 16.2377688 48.1999957))"
Schaltanlage Kritzendorf,"POLYGON ((16.323755 48.3233565, 16.3239865 48.3233875, 16.3240584 48.3231507, 16.3238269 48.3231197, 16.323755 48.3233565))"
Umspannwerk Zedlitzhalle,"POLYGON ((16.3776998 48.2061491, 16.3780671 48.2065056, 16.3782896 48.2064036, 16.3779239 48.2060463, 16.3778659 48.2060729, 16.3778068 48.2061, 16.3776998 48.2061491))"
Umspannwerk Brederis,"POLYGON ((9.6152704 47.2802008, 9.6150827 47.2796919, 9.6155759 47.2796082, 9.615674500000001 47.2798756, 9.615856000000001 47.2798448, 9.615926999999999 47.2800374, 9.615745499999999 47.2800682, 9.6157635 47.2801171, 9.6152704 47.2802008))"
Umspannwerk Wien Nord,"POLYGON ((16.3888659 48.2581272, 16.3891421 48.2578208, 16.3887755 48.2576773, 16.3890207 48.2574043, 16.3896553 48.2566979, 16.3905215 48.2570302, 16.3906573 48.2568744, 16.391243 48.2570946, 16.3907153 48.2577114, 16.3899703 48.258582, 16.389489 48.2583838, 16.3888659 48.2581272))"
Umspannwerk Wien Nord,"POLYGON ((16.3888659 48.2581272, 16.3891421 48.2578208, 16.3887755 48.2576773, 16.3890207 48.2574043, 16.3896553 48.2566979, 16.3905215 48.2570302, 16.3906573 48.2568744, 16.391243 48.2570946, 16.3907153 48.2577114, 16.3899703 48.258582, 16.389489 48.2583838, 16.3888659 48.2581272))"
 ,"POLYGON ((10.7477454 47.4935782, 10.7479431 47.4935199, 10.7486011 47.4935125, 10.7488364 47.4934817, 10.7490803 47.4934411, 10.7495521 47.4932619, 10.7496042 47.4932704, 10.7498068 47.4935213, 10.749478 47.4936462, 10.7493026 47.4937037, 10.7491133 47.4937491, 10.7487132 47.4938184, 10.7477821 47.4939608, 10.7477763 47.4939421, 10.7476848 47.4936471, 10.7477454 47.4935782))"
Umspannwerk Kendlerstraße,"POLYGON ((16.3099955 48.2058324, 16.3123458 48.2054731, 16.3125108 48.2054479, 16.3125567 48.2046959, 16.3125679 48.2045696, 16.312571 48.2045348, 16.312585 48.204378, 16.3115771 48.2045935, 16.3114408 48.2046226, 16.3106766 48.204786, 16.3106557 48.2047902, 16.3097131 48.2049904, 16.3097555 48.2051175, 16.3099955 48.2058324))"
Umspannwerk Baumkirchen,"POLYGON ((14.7490767 47.1559292, 14.7482912 47.1559361, 14.7474517 47.1558846, 14.7474124 47.1543675, 14.7485119 47.1543769, 14.7489068 47.154355, 14.7489512 47.1547468, 14.7489962 47.1551707, 14.7490767 47.1559292))"
